feature	tree	folds	randomTreebagSeed	avgTrainLoss	avgTestLoss	avgOobLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
6	200	5	63	0.0011	0.0495	0.0675	0.9558	0.9558	0.9559	0.9559	3200	239.5700	2.5820
8	200	2	64	0.0011	0.0544	0.0718	0.9506	0.9506	0.9506	0.9506	3200	98.9800	2.5600
8	200	3	65	0.0011	0.0589	0.0706	0.9460	0.9460	0.9460	0.9460	3200	148.5000	2.5700
8	200	5	66	0.0011	0.0547	0.0715	0.9509	0.9507	0.9508	0.9507	3200	248.3400	2.5700
10	200	2	67	0.0011	0.0590	0.0761	0.9459	0.9454	0.9455	0.9455	3200	107.4000	2.5600
10	200	3	68	0.0011	0.0578	0.0757	0.9456	0.9455	0.9464	0.9459	3200	161.3000	2.5633
10	200	5	69	0.0011	0.0614	0.0754	0.9429	0.9424	0.9430	0.9427	3200	268.5300	2.5440
12	200	2	70	0.0012	0.0783	0.0891	0.9252	0.9250	0.9254	0.9252	3200	110.9900	2.5300
12	200	3	71	0.0012	0.0711	0.0860	0.9328	0.9327	0.9326	0.9326	3200	166.9700	2.5567
12	200	5	72	0.0012	0.0713	0.0869	0.9320	0.9318	0.9320	0.9319	3200	276.8900	2.5320
