feature	tree	folds	randomTreebagSeed	avgTrainLoss	avgTestLoss	avgOobLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
2	25	2	1	0.0103	0.0858	0.1840	0.9459	0.9456	0.9460	0.9458	3200	13.5900	0.5350
2	25	3	2	0.0101	0.0802	0.1833	0.9511	0.9507	0.9513	0.9510	3200	17.8600	0.4567
4	25	2	3	0.0084	0.0708	0.1727	0.9556	0.9552	0.9555	0.9553	3200	11.3100	0.3350
4	25	3	4	0.0078	0.0775	0.1729	0.9474	0.9476	0.9477	0.9476	3200	19.4100	0.5067
