numberOfFolds	minLeafSize	minParentSize	maxNumSplit	splitCriterion	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	predictTime	randomSeed
2	1	12	100	gdi	0.3654	0.3807	0.6206	0.6179	0.7290	0.6689	3200	1.0313	0.0000	2
3	1	12	100	gdi	0.3694	0.3739	0.6245	0.6238	0.7399	0.6769	3200	1.0469	0.0365	3
2	1	14	100	gdi	0.3691	0.3727	0.6273	0.6254	0.7370	0.6766	3200	0.8281	0.0000	2
3	1	14	100	gdi	0.3671	0.3840	0.6135	0.6143	0.7205	0.6632	3200	1.2344	0.0677	3
2	3	12	100	gdi	0.3673	0.3856	0.6123	0.6124	0.7345	0.6679	3200	0.6563	0.0000	2
3	3	12	100	gdi	0.3809	0.3865	0.6133	0.6122	NaN	NaN	3200	1.2344	0.0052	3
2	3	14	100	gdi	0.3670	0.3791	0.6200	0.6190	0.7321	0.6708	3200	0.6563	0.0000	2
3	3	14	100	gdi	0.3658	0.3799	0.6171	0.6177	0.7358	0.6715	3200	1.0313	0.0000	3
