numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
5	0.70	25	gdi	0.3692	0.3632	3074.6000	4800	5.8281
10	0.70	25	gdi	0.3675	0.3619	3063.3000	4800	11.0313
15	0.70	25	gdi	0.3671	0.3647	3062.3333	4800	17.0000
20	0.70	25	gdi	0.3627	0.3581	3078.1500	4800	23.0313
1	0.70	25	twoing	0.4813	0.4719	2555.0000	4800	1.0156
5	0.70	25	twoing	0.4683	0.4595	2602.2000	4800	5.7813
10	0.70	25	twoing	0.4741	0.4680	2562.2000	4800	11.0156
15	0.70	25	twoing	0.4696	0.4638	2582.0667	4800	16.5313
20	0.70	25	twoing	0.4697	0.4662	2570.5500	4800	22.1250
1	0.70	25	deviance	0.4585	0.4401	2702.0000	4800	1.1250
5	0.70	25	deviance	0.4540	0.4455	2668.8000	4800	5.9063
10	0.70	25	deviance	0.4596	0.4554	2624.4000	4800	11.0156
15	0.70	25	deviance	0.4583	0.4525	2631.8667	4800	16.6719
20	0.70	25	deviance	0.4564	0.4506	2640.6500	4800	22.1094
1	0.70	100	gdi	0.6239	0.6104	1881.0000	4800	1.2344
5	0.70	100	gdi	0.6276	0.6163	1839.8000	4800	5.8594
10	0.70	100	gdi	0.6201	0.6056	1907.8000	4800	11.6563
15	0.70	100	gdi	0.6228	0.6103	1879.0667	4800	16.8125
20	0.70	100	gdi	0.6240	0.6115	1865.5500	4800	22.7188
1	0.70	100	twoing	0.6404	0.6418	1727.0000	4800	1.1406
5	0.70	100	twoing	0.6454	0.6271	1793.2000	4800	5.7031
10	0.70	100	twoing	0.6479	0.6365	1747.9000	4800	11.1719
15	0.70	100	twoing	0.6489	0.6295	1780.2000	4800	16.9063
20	0.70	100	twoing	0.6484	0.6320	1769.9500	4800	22.7813
1	0.70	100	deviance	0.6496	0.6388	1742.0000	4800	1.0156
5	0.70	100	deviance	0.6709	0.6582	1639.4000	4800	5.5313
10	0.70	100	deviance	0.6603	0.6477	1696.5000	4800	11.5938
15	0.70	100	deviance	0.6630	0.6499	1688.2667	4800	16.7344
20	0.70	100	deviance	0.6626	0.6470	1701.0500	4800	22.7813
1	0.70	400	gdi	0.7960	0.7485	1205.0000	4800	1.1719
5	0.70	400	gdi	0.8009	0.7528	1190.6000	4800	5.8438
10	0.70	400	gdi	0.7975	0.7518	1194.2000	4800	11.3906
15	0.70	400	gdi	0.7982	0.7511	1198.2667	4800	17.6875
20	0.70	400	gdi	0.7955	0.7511	1198.1500	4800	23.6875
1	0.70	400	twoing	0.8085	0.7683	1115.0000	4800	1.2500
5	0.70	400	twoing	0.8140	0.7626	1139.4000	4800	5.7813
10	0.70	400	twoing	0.8158	0.7666	1120.7000	4800	11.4375
15	0.70	400	twoing	0.8151	0.7680	1117.6000	4800	17.4531
20	0.70	400	twoing	0.8144	0.7661	1122.9000	4800	22.9844
1	0.70	400	deviance	0.8303	0.7771	1059.0000	4800	1.2031
5	0.70	400	deviance	0.8301	0.7785	1059.2000	4800	5.9531
10	0.70	400	deviance	0.8284	0.7826	1045.6000	4800	11.4688
15	0.70	400	deviance	0.8296	0.7795	1059.2000	4800	17.7500
20	0.70	400	deviance	0.8299	0.7797	1057.2500	4800	23.1563
1	0.70	800	gdi	0.9095	0.8179	873.0000	4800	1.2031
5	0.70	800	gdi	0.9057	0.8182	873.2000	4800	6.0781
10	0.70	800	gdi	0.9077	0.8230	850.7000	4800	11.8750
15	0.70	800	gdi	0.9066	0.8203	863.2667	4800	17.5625
20	0.70	800	gdi	0.9039	0.8215	859.0500	4800	23.2188
1	0.70	800	twoing	0.9087	0.8199	862.0000	4800	1.0781
5	0.70	800	twoing	0.9054	0.8195	864.8000	4800	5.7969
10	0.70	800	twoing	0.9086	0.8204	860.5000	4800	11.8438
15	0.70	800	twoing	0.9071	0.8200	864.2000	4800	18.0781
20	0.70	800	twoing	0.9082	0.8227	852.9000	4800	23.1875
1	0.70	800	deviance	0.9270	0.8314	811.0000	4800	1.0469
5	0.70	800	deviance	0.9185	0.8344	793.0000	4800	5.5938
10	0.70	800	deviance	0.9214	0.8346	795.7000	4800	11.9688
15	0.70	800	deviance	0.9196	0.8353	792.3333	4800	17.9219
20	0.70	800	deviance	0.9203	0.8325	804.8500	4800	23.7656
1	0.70	1600	gdi	0.9234	0.8285	819.0000	4800	1.2188
5	0.70	1600	gdi	0.9274	0.8327	807.0000	4800	5.9063
10	0.70	1600	gdi	0.9266	0.8302	813.7000	4800	11.9375
15	0.70	1600	gdi	0.9263	0.8312	810.1333	4800	17.7344
20	0.70	1600	gdi	0.9266	0.8295	820.6500	4800	23.9688
1	0.70	1600	twoing	0.9191	0.8185	869.0000	4800	1.2656
5	0.70	1600	twoing	0.9190	0.8237	848.8000	4800	6.0781
10	0.70	1600	twoing	0.9188	0.8237	845.6000	4800	12.0313
15	0.70	1600	twoing	0.9184	0.8268	833.3333	4800	18.1719
20	0.70	1600	twoing	0.9183	0.8240	847.7000	4800	23.5313
1	0.70	1600	deviance	0.9234	0.8268	841.0000	4800	1.1719
5	0.70	1600	deviance	0.9261	0.8349	793.2000	4800	5.8438
10	0.70	1600	deviance	0.9255	0.8314	810.2000	4800	12.0313
15	0.70	1600	deviance	0.9255	0.8324	806.0000	4800	18.3906
20	0.70	1600	deviance	0.9255	0.8352	792.3500	4800	26.1719
