numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
15	0.80	100	deviance	0.6753	0.6628	1082.9333	3199	13.6406
20	0.80	100	deviance	0.6745	0.6624	1080.0000	3199	17.0156
1	0.80	400	gdi	0.8099	0.7611	769.0000	3199	0.9844
5	0.80	400	gdi	0.8019	0.7628	761.6000	3199	4.5938
10	0.80	400	gdi	0.8045	0.7638	757.0000	3199	9.2969
15	0.80	400	gdi	0.8051	0.7636	755.8000	3199	15.3438
20	0.80	400	gdi	0.8040	0.7645	753.1500	3199	17.9375
1	0.80	400	twoing	0.8233	0.7928	661.0000	3199	1.0781
5	0.80	400	twoing	0.8191	0.7791	707.0000	3199	4.5156
10	0.80	400	twoing	0.8217	0.7783	710.7000	3199	8.9688
15	0.80	400	twoing	0.8217	0.7764	716.9333	3199	13.5781
20	0.80	400	twoing	0.8213	0.7792	706.6500	3199	18.0313
1	0.80	400	deviance	0.8358	0.8006	638.0000	3199	0.8750
5	0.80	400	deviance	0.8356	0.7955	660.0000	3199	4.8750
10	0.80	400	deviance	0.8353	0.7926	663.3000	3199	9.1719
15	0.80	400	deviance	0.8353	0.7890	676.5333	3199	13.7188
20	0.80	400	deviance	0.8357	0.7904	673.1000	3199	18.2344
1	0.80	800	gdi	0.9103	0.8375	517.0000	3199	1.0313
5	0.80	800	gdi	0.9081	0.8337	534.4000	3199	4.7031
10	0.80	800	gdi	0.9064	0.8289	548.6000	3199	9.2969
15	0.80	800	gdi	0.9058	0.8295	545.4000	3199	13.9219
20	0.80	800	gdi	0.9064	0.8317	537.6000	3199	21.7031
1	0.80	800	twoing	0.9091	0.8421	502.0000	3199	0.9219
5	0.80	800	twoing	0.9114	0.8349	526.2000	3199	4.3594
10	0.80	800	twoing	0.9111	0.8330	536.1000	3199	9.8906
15	0.80	800	twoing	0.9117	0.8309	541.0000	3199	13.7656
20	0.80	800	twoing	0.9104	0.8337	531.3000	3199	18.0313
1	0.80	800	deviance	0.9234	0.8490	485.0000	3199	0.9063
5	0.80	800	deviance	0.9203	0.8441	495.8000	3199	4.6563
10	0.80	800	deviance	0.9229	0.8413	506.9000	3199	9.2813
15	0.80	800	deviance	0.9220	0.8431	501.4000	3199	14.5156
20	0.80	800	deviance	0.9225	0.8419	506.1000	3199	17.9531
1	0.80	1600	gdi	0.9358	0.8359	525.0000	3199	0.9219
5	0.80	1600	gdi	0.9340	0.8433	502.0000	3199	4.8906
10	0.80	1600	gdi	0.9330	0.8438	499.2000	3199	9.3594
15	0.80	1600	gdi	0.9328	0.8418	506.6000	3199	14.0781
20	0.80	1600	gdi	0.9328	0.8449	497.4000	3199	19.4688
1	0.80	1600	twoing	0.9288	0.8325	534.0000	3199	1.1250
5	0.80	1600	twoing	0.9279	0.8361	524.6000	3199	4.5781
10	0.80	1600	twoing	0.9275	0.8390	514.9000	3199	9.3906
15	0.80	1600	twoing	0.9267	0.8393	514.4000	3199	14.5313
20	0.80	1600	twoing	0.9266	0.8378	519.9500	3199	19.2656
1	0.80	1600	deviance	0.9339	0.8467	491.0000	3199	0.9219
