numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
1	0.70	75	gdi	0.5866	0.5974	1953.0000	4800	1.1719
5	0.70	75	gdi	0.5794	0.5710	2073.0000	4800	5.5938
10	0.70	75	gdi	0.5834	0.5728	2050.4000	4800	11.5781
15	0.70	75	gdi	0.5861	0.5783	2032.8000	4800	18.1875
20	0.70	75	gdi	0.5789	0.5688	2067.3000	4800	23.7188
1	0.70	75	twoing	0.6356	0.6264	1802.0000	4800	1.2188
5	0.70	75	twoing	0.6250	0.6158	1848.4000	4800	6.0781
10	0.70	75	twoing	0.6323	0.6232	1810.2000	4800	12.3750
15	0.70	75	twoing	0.6279	0.6194	1827.5333	4800	17.7656
20	0.70	75	twoing	0.6290	0.6199	1826.8500	4800	23.8750
1	0.70	75	deviance	0.6621	0.6425	1721.0000	4800	1.1563
5	0.70	75	deviance	0.6474	0.6349	1755.4000	4800	5.7656
10	0.70	75	deviance	0.6471	0.6346	1758.4000	4800	11.6094
15	0.70	75	deviance	0.6512	0.6382	1739.7333	4800	17.1406
20	0.70	75	deviance	0.6501	0.6382	1741.2000	4800	22.4844
1	0.70	50	gdi	0.4855	0.4804	2535.0000	4800	1.0625
5	0.70	50	gdi	0.5336	0.5278	2267.6000	4800	5.7969
10	0.70	50	gdi	0.5220	0.5159	2344.3000	4800	11.2656
15	0.70	50	gdi	0.5224	0.5156	2339.2000	4800	25.4844
20	0.70	50	gdi	0.5181	0.5105	2346.5500	4800	22.7344
1	0.70	50	twoing	0.5814	0.5799	2046.0000	4800	1.0625
5	0.70	50	twoing	0.5885	0.5737	2052.0000	4800	5.8750
10	0.70	50	twoing	0.5848	0.5797	2015.8000	4800	11.5625
15	0.70	50	twoing	0.5870	0.5741	2044.6667	4800	17.7656
20	0.70	50	twoing	0.5844	0.5739	2047.3500	4800	22.1250
1	0.70	50	deviance	0.5940	0.5793	2041.0000	4800	1.1094
5	0.70	50	deviance	0.5906	0.5817	2009.6000	4800	5.7344
10	0.70	50	deviance	0.5843	0.5755	2043.4000	4800	11.4219
15	0.70	50	deviance	0.5877	0.5809	2018.0667	4800	17.4219
20	0.70	50	deviance	0.5898	0.5826	2012.1000	4800	22.9063
1	0.70	25	gdi	0.3732	0.3703	3042.0000	4800	1.0938
5	0.70	25	gdi	0.3654	0.3602	3077.6000	4800	5.5938
10	0.70	25	gdi	0.3665	0.3658	3048.9000	4800	11.1563
15	0.70	25	gdi	0.3691	0.3647	3049.0000	4800	17.7656
20	0.70	25	gdi	0.3686	0.3654	3056.8500	4800	22.8750
1	0.70	25	twoing	0.4926	0.4841	2487.0000	4800	1.1563
5	0.70	25	twoing	0.4865	0.4742	2527.2000	4800	5.7031
10	0.70	25	twoing	0.4909	0.4847	2476.5000	4800	11.3594
15	0.70	25	twoing	0.4897	0.4856	2481.4000	4800	17.5000
20	0.70	25	twoing	0.4864	0.4804	2500.0000	4800	22.8125
1	0.70	25	deviance	0.4672	0.4738	2537.0000	4800	1.0938
5	0.70	25	deviance	0.4746	0.4668	2552.6000	4800	5.7656
10	0.70	25	deviance	0.4740	0.4729	2539.7000	4800	11.3438
15	0.70	25	deviance	0.4732	0.4699	2552.6000	4800	16.8125
20	0.70	25	deviance	0.4766	0.4717	2536.3000	4800	23.2500
