numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
1	0.70	75	gdi	0.5786	0.5728	2054.0000	4800	1.0938
5	0.70	75	gdi	0.5593	0.5507	2159.6000	4800	5.5000
10	0.70	75	gdi	0.5635	0.5510	2169.6000	4800	10.6094
15	0.70	75	gdi	0.5726	0.5657	2092.2667	4800	16.1094
20	0.70	75	gdi	0.5780	0.5706	2062.8500	4800	22.5781
1	0.70	75	twoing	0.6178	0.5986	1947.0000	4800	1.1719
5	0.70	75	twoing	0.6145	0.6042	1902.6000	4800	5.5313
10	0.70	75	twoing	0.6161	0.6022	1917.0000	4800	11.2344
15	0.70	75	twoing	0.6155	0.6116	1867.8667	4800	16.6250
20	0.70	75	twoing	0.6170	0.6066	1889.6000	4800	24.1250
1	0.70	75	deviance	0.6268	0.6169	1850.0000	4800	1.1875
5	0.70	75	deviance	0.6327	0.6265	1797.8000	4800	6.0313
10	0.70	75	deviance	0.6382	0.6237	1814.5000	4800	12.3281
15	0.70	75	deviance	0.6360	0.6260	1798.8000	4800	18.8125
20	0.70	75	deviance	0.6336	0.6231	1811.3500	4800	24.3594
1	0.70	50	gdi	0.4980	0.5040	2366.0000	4800	1.0313
5	0.70	50	gdi	0.5233	0.5170	2327.2000	4800	5.8594
10	0.70	50	gdi	0.5181	0.5138	2324.4000	4800	11.0313
15	0.70	50	gdi	0.5165	0.5111	2348.9333	4800	16.4531
20	0.70	50	gdi	0.5163	0.5086	2359.4000	4800	21.3281
1	0.70	50	twoing	0.5587	0.5602	2087.0000	4800	0.9531
5	0.70	50	twoing	0.5719	0.5689	2060.6000	4800	5.1563
10	0.70	50	twoing	0.5701	0.5649	2092.5000	4800	11.1406
15	0.70	50	twoing	0.5687	0.5616	2107.0000	4800	19.4063
20	0.70	50	twoing	0.5712	0.5650	2090.2000	4800	23.4375
1	0.70	50	deviance	0.5792	0.5697	2079.0000	4800	1.0781
5	0.70	50	deviance	0.5771	0.5684	2086.4000	4800	5.5469
10	0.70	50	deviance	0.5793	0.5736	2049.0000	4800	11.0000
15	0.70	50	deviance	0.5803	0.5690	2067.9333	4800	16.1094
20	0.70	50	deviance	0.5803	0.5701	2070.5500	4800	21.6875
1	0.70	25	gdi	0.3671	0.3668	3085.0000	4800	1.2813
5	0.70	25	gdi	0.3648	0.3586	3059.0000	4800	5.2969
10	0.70	25	gdi	0.3650	0.3622	3096.1000	4800	11.3438
15	0.70	25	gdi	0.3689	0.3635	3074.5333	4800	16.4219
20	0.70	25	gdi	0.3663	0.3641	3064.6500	4800	22.1719
1	0.70	25	twoing	0.4747	0.4572	2600.0000	4800	1.1406
5	0.70	25	twoing	0.4702	0.4651	2579.6000	4800	5.3750
10	0.70	25	twoing	0.4611	0.4612	2602.3000	4800	10.8750
15	0.70	25	twoing	0.4720	0.4656	2570.6667	4800	16.2813
20	0.70	25	twoing	0.4726	0.4654	2570.9000	4800	21.3750
1	0.70	25	deviance	0.4656	0.4450	2681.0000	4800	0.9531
5	0.70	25	deviance	0.4618	0.4536	2615.2000	4800	5.4375
10	0.70	25	deviance	0.4586	0.4515	2637.9000	4800	11.0000
15	0.70	25	deviance	0.4572	0.4520	2628.1333	4800	17.0781
20	0.70	25	deviance	0.4575	0.4514	2636.9500	4800	22.0469
