numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	elapsedTime
2	0.20	100	gdi	0.3436	0.3918	1.3125
5	0.20	100	gdi	0.3429	0.3815	1.4531
