feature	tree	folds	randomTreebagSeed	avgTrainLoss	avgTestLoss	avgOobLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
6	200	5	63	0.0011	0.0503	0.0679	0.9550	0.9550	0.9551	0.9551	3200	296.6563	3.7156
8	200	2	64	0.0010	0.0535	0.0716	0.9509	0.9509	0.9509	0.9509	3200	120.8750	3.2344
8	200	3	65	0.0011	0.0590	0.0711	0.9466	0.9464	0.9464	0.9464	3200	184.0781	3.5625
8	200	5	66	0.0011	0.0552	0.0718	0.9502	0.9499	0.9499	0.9499	3200	303.8594	3.6187
10	200	2	67	0.0011	0.0586	0.0769	0.9473	0.9467	0.9470	0.9469	3200	129.3438	3.6797
10	200	3	68	0.0011	0.0593	0.0759	0.9469	0.9467	0.9476	0.9472	3200	200.3594	3.5469
10	200	5	69	0.0010	0.0625	0.0769	0.9422	0.9417	0.9421	0.9419	3200	333.2188	3.6781
12	200	2	70	0.0012	0.0784	0.0891	0.9252	0.9250	0.9254	0.9252	3200	133.7969	3.3594
12	200	3	71	0.0012	0.0711	0.0860	0.9328	0.9327	0.9326	0.9326	3200	204.6875	4.0000
12	200	5	72	0.0012	0.0715	0.0869	0.9318	0.9316	0.9318	0.9317	3200	335.1563	3.4781
