distributionName	smootherType	Width	numberOfFolds	randomNBayesSeed	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
kernel	triangle	0.20000000	2	1	0.2464	0.2553	0.7434	0.7440	0.7581	0.7510	3200	77.5156	6.4453
kernel	triangle	0.20000000	3	2	0.2475	0.2555	0.7439	0.7441	0.7610	0.7524	3200	114.5000	6.5000
kernel	triangle	0.20000000	5	3	0.2480	0.2601	0.7402	0.7395	0.7557	0.7475	3200	189.4844	6.3438
kernel	triangle	0.18000000	2	4	0.2389	0.2611	0.7394	0.7389	0.7540	0.7464	3200	73.0156	6.1484
kernel	triangle	0.18000000	3	5	0.2422	0.2573	0.7416	0.7425	0.7571	0.7497	3200	111.1563	6.4219
kernel	triangle	0.18000000	5	6	0.2423	0.2500	0.7499	0.7495	0.7654	0.7574	3200	183.7813	6.1688
kernel	triangle	0.13000000	2	7	0.2314	0.2550	0.7455	0.7446	0.7587	0.7516	3200	64.1094	5.2656
kernel	triangle	0.13000000	3	8	0.2336	0.2565	0.7425	0.7428	0.7583	0.7505	3200	97.6875	5.6719
kernel	triangle	0.13000000	5	9	0.2362	0.2452	0.7541	0.7543	0.7687	0.7614	3200	159.7344	5.5250
kernel	triangle	0.12000000	2	10	0.2328	0.2503	0.7492	0.7494	0.7618	0.7555	3200	63.5625	5.2266
kernel	triangle	0.12000000	3	11	0.2334	0.2490	0.7515	0.7504	0.7650	0.7577	3200	94.5000	5.2240
kernel	triangle	0.12000000	5	12	0.2325	0.2557	0.7443	0.7437	0.7586	0.7511	3200	159.8906	5.4156
kernel	triangle	0.11000000	2	13	0.2364	0.2394	0.7592	0.7602	0.7726	0.7663	3200	64.6719	5.6953
kernel	triangle	0.11000000	3	14	0.2337	0.2542	0.7450	0.7455	0.7589	0.7521	3200	97.4063	5.3802
kernel	triangle	0.11000000	5	15	0.2331	0.2501	0.7496	0.7495	0.7638	0.7566	3200	160.5000	5.4313
kernel	triangle	0.10000000	2	16	0.2327	0.2545	0.7467	0.7449	0.7633	0.7540	3200	62.7500	5.1563
kernel	triangle	0.10000000	3	17	0.2359	0.2471	0.7527	0.7525	0.7644	0.7584	3200	93.9844	5.4063
kernel	triangle	0.10000000	5	18	0.2344	0.2489	0.7509	0.7508	0.7656	0.7582	3200	155.6563	5.1969
kernel	triangle	0.09000000	2	19	0.2325	0.2519	0.7481	0.7476	0.7632	0.7553	3200	62.2813	5.1641
kernel	triangle	0.09000000	3	20	0.2326	0.2517	0.7480	0.7480	0.7625	0.7552	3200	93.3281	5.3542
kernel	triangle	0.09000000	5	21	0.2345	0.2493	0.7507	0.7501	0.7639	0.7570	3200	155.9375	5.2969
kernel	triangle	0.80000000	2	22	0.3680	0.3728	0.6283	0.6264	0.6804	0.6522	3200	109.7188	9.1797
kernel	triangle	0.80000000	3	23	0.3669	0.3717	0.6283	0.6275	0.6853	0.6551	3200	164.4844	9.0573
kernel	triangle	0.80000000	5	24	0.3700	0.3805	0.6207	0.6189	0.6752	0.6458	3200	277.2344	9.3531
