feature	tree	folds	randomTreebagSeed	avgTrainLoss	avgTestLoss	avgOobLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
2	25	2	1	0.0099	0.0840	0.1832	0.9464	0.9459	0.9465	0.9462	3200	15.2500	0.6328
2	25	3	2	0.0107	0.0797	0.1864	0.9522	0.9518	0.9520	0.9519	3200	21.5156	0.4948
4	25	2	3	0.0079	0.0725	0.1730	0.9545	0.9544	0.9548	0.9546	3200	15.5625	0.5000
4	25	3	4	0.0077	0.0749	0.1736	0.9502	0.9505	0.9505	0.9505	3200	23.5313	0.5469
